threshold,tp,fp,tn,fn,tpr,fpr,fnr,tnr,precision,recall,f1
1.4866611210986822,51909,12376945,68615,31,0.9994031574894109,0.9944867888628555,0.0005968425105891413,0.005513211137144492,0.004176491251727633,0.9994031574894109,0.008318220779863843
1.5052443851124158,51914,12395316,50244,26,0.9994994224104736,0.9959628976116783,0.0005005775895263766,0.004037102388321619,0.004170727141701407,0.9994994224104736,0.008306791570960313
1.523827649126149,51920,12409081,36479,20,0.9996149403157489,0.9970689145365897,0.0003850596842510589,0.002931085463410244,0.004166599456977814,0.9996149403157489,0.008298608616471538
1.5424109131398827,51929,12419627,25933,11,0.999788217173662,0.9979162850044514,0.0002117828263380824,0.002083714995548613,0.004163794798339518,0.999788217173662,0.008293051716549437
1.5609941771536162,51935,12427252,18308,5,0.9999037350789373,0.9985289532974009,9.626492106276473e-05,0.0014710467025991598,0.004161729445996762,0.9999037350789373,0.008288959165444575
1.5795774411673498,51936,12432882,12678,4,0.9999229880631498,0.9989813234599327,7.701193685021179e-05,0.001018676540067301,0.004159932487602142,0.9999229880631498,0.008285395634182296
1.5981607051810833,51936,12436994,8566,4,0.9999229880631498,0.9993117224134551,7.701193685021179e-05,0.0006882775865449204,0.004158562823236258,0.9999229880631498,0.008282678952895613
1.6167439691948169,51937,12439936,5624,3,0.9999422410473623,0.9995481119371085,5.775895263765884e-05,0.0004518880628915051,0.00415766314627118,0.9999422410473623,0.008280895131328889
1.6353272332085504,51938,12441945,3615,2,0.9999614940315749,0.9997095349666869,3.850596842510589e-05,0.00029046503331308515,0.004157074305882327,0.9999614940315749,0.008279727842485901
1.6539104972222838,51939,12443355,2205,1,0.9999807470157874,0.9998228283821701,1.9252984212552947e-05,0.0001771716178299731,0.00415668490873444,0.9999807470157874,0.008278956142843914
1.6724937612360173,51940,12444269,1291,0,1.0,0.9998962682273839,0.0,0.00010373177261609763,0.0041564605713620825,1.0,0.008278511834693707
1.691077025249751,51940,12444867,693,0,1.0,0.9999443174915391,0.0,5.568250846084869e-05,0.004156261675482385,1.0,0.008278117329164416
1.7096602892634845,51940,12445173,387,0,1.0,0.9999689045731972,0.0,3.1095426802811605e-05,0.00415615990669205,1.0,0.008277915472984296
1.728243553277218,51940,12445360,200,0,1.0,0.9999839300119883,0.0,1.6069988011788944e-05,0.004156097717106895,1.0,0.008277792121275869
1.7468268172909516,51940,12445466,94,0,1.0,0.9999924471056345,0.0,7.552894365540803e-06,0.004156062466082962,1.0,0.008277722201619112
1.7654100813046851,51940,12445524,36,0,1.0,0.9999971074021579,0.0,2.8925978421220097e-06,0.004156043178039961,1.0,0.008277683944193686
1.7839933453184185,51940,12445547,13,0,1.0,0.9999989554507792,0.0,1.0445492207662812e-06,0.004156035529382827,1.0,0.00827766877324359
1.802576609332152,51940,12445556,4,0,1.0,0.9999996786002397,0.0,3.2139976023577886e-07,0.004156032536437699,1.0,0.008277662836799997
1.8211598733458856,51940,12445558,2,0,1.0,0.9999998393001199,0.0,1.6069988011788943e-07,0.004156031871339367,1.0,0.008277661517591465
1.8397431373596191,51940,12445559,1,0,1.0,0.99999991965006,0.0,8.034994005894471e-08,0.004156031538790281,1.0,0.008277660857987356
