threshold,tp,fp,tn,fn,tpr,fpr,fnr,tnr,precision,recall,f1,Training Data,Testing Data
1.3167177836100261,10946,11582245,903902,407,0.9641504448163482,0.9276076118597675,0.0358495551836519,0.07239238814023254,0.0009441749040449692,0.9641504448163482,0.0018865023907876088,Switzerland,Germany
1.3366680530586628,10963,11622995,863152,390,0.9656478463842156,0.9308712287305283,0.03435215361578437,0.06912877126947167,0.0009423276240123954,0.9656478463842156,0.0018828178998396864,Switzerland,Germany
1.3566183225072996,10984,11663285,822862,369,0.9674975777327579,0.9340980047728095,0.03250242226724214,0.06590199522719058,0.0009408726148078308,0.9674975777327579,0.0018799170467776554,Switzerland,Germany
1.3765685919559365,11004,11701887,784260,349,0.9692592266361314,0.9371895909923214,0.03074077336386858,0.06281040900767867,0.0009394777087911089,0.9692592266361314,0.0018771359586170335,Switzerland,Germany
1.3965188614045732,11022,11740273,745874,331,0.9708447106491677,0.9402638780401993,0.029155289350832378,0.05973612195980073,0.0009379391803201264,0.9708447106491677,0.0018740678119416648,Switzerland,Germany
1.4164691308532098,11043,11777666,708481,310,0.9726944419977098,0.9432586369518154,0.027305558002290144,0.05674136304818452,0.0009367437944222731,0.9726944419977098,0.0018716850809766931,Switzerland,Germany
1.4364194003018467,11061,11814514,671633,292,0.9742799260107461,0.946209747490559,0.025720073989253942,0.05379025250944106,0.0009353456385841703,0.9742799260107461,0.0018688970651844802,Switzerland,Germany
1.4563696697504835,11083,11850909,635238,270,0.9762177398044569,0.9491245778221256,0.02378226019554303,0.050875422177874406,0.0009343287366911055,0.9762177398044569,0.0018668707091388315,Switzerland,Germany
1.4763199391991202,11100,11886279,599868,253,0.9777151413723245,0.9519573171771885,0.022284858627675503,0.04804268282281155,0.0009329785997403293,0.9777151413723245,0.0018641783189007864,Switzerland,Germany
1.4962702086477568,11123,11921238,564909,230,0.9797410376112041,0.9547571400528923,0.020258962388795914,0.045242859947107784,0.0009321709257706836,0.9797410376112041,0.001862569716588994,Switzerland,Germany
1.5162204780963937,11141,11955799,530348,212,0.9813265216242403,0.9575250876030852,0.018673478375759712,0.042474912396914755,0.0009309815207563504,0.9813265216242403,0.001860198276999903,Switzerland,Germany
1.5361707475450306,11165,11989986,496161,188,0.9834405003082886,0.9602630819579491,0.016559499691711443,0.03973691804205092,0.0009303274327604077,0.9834405003082886,0.0018588963633227509,Switzerland,Germany
1.5561210169936672,11185,12023490,462657,168,0.9852021492116622,0.9629463756913962,0.014797850788337884,0.03705362430860377,0.0009293977610529574,0.9852021492116622,0.0018570436661777643,Switzerland,Germany
1.5760712864423039,11197,12056456,429691,156,0.9862591385536863,0.9655865816732736,0.01374086144631375,0.03441341832672641,0.0009278523338382368,0.9862591385536863,0.001853960499729862,Switzerland,Germany
1.5960215558909407,11209,12088509,397638,144,0.9873161278957104,0.9681536666194944,0.012683872104289616,0.03184633338050561,0.0009263852264986672,0.9873161278957104,0.0018510336534233842,Switzerland,Germany
1.6159718253395776,11229,12120404,365743,124,0.9890777767990839,0.9707080975420199,0.010922223200916058,0.02929190245798003,0.0009255967436535543,0.9890777767990839,0.0018494627268778865,Switzerland,Germany
1.6359220947882143,11239,12151292,334855,114,0.9899586012507707,0.9731818790856779,0.01004139874922928,0.026818120914322088,0.0009240675316675452,0.9899586012507707,0.0018464115478675498,Switzerland,Germany
1.655872364236851,11248,12181547,304600,105,0.9907513432572889,0.9756049644457974,0.009248656742711178,0.02439503555420259,0.0009225120245193986,0.9907513432572889,0.0018433077016109603,Switzerland,Germany
1.6758226336854878,11260,12210935,275212,93,0.991808332599313,0.9779586128531084,0.008191667400687042,0.02204138714689167,0.0009212747792029173,0.991808332599313,0.0018408396321328857,Switzerland,Germany
1.6957729031341247,11273,12239569,246578,80,0.9929534043865058,0.9802518743372155,0.00704659561349423,0.019748125662784523,0.0009201816495551898,0.9929534043865058,0.0018386593917320674,Switzerland,Germany
